Count,Time,Tag ID,Distance,X,Y,Z,Pitch,Roll,Yaw
0,8.076,0,1.251,0.128,-0.135,1.237,-0.044,-0.429,-1.131,
1,8.154,0,1.235,0.122,-0.140,1.221,0.154,0.083,-1.117,
2,8.224,0,1.209,0.114,-0.142,1.196,0.183,0.126,-1.120,
3,8.297,0,1.202,0.114,-0.142,1.188,0.189,0.127,-1.121,
4,8.438,0,1.513,0.132,-0.182,1.496,-0.667,-0.046,0.339,
5,8.508,0,1.523,0.134,-0.182,1.506,-0.662,-0.023,0.410,
6,8.577,0,1.522,0.134,-0.183,1.505,-0.661,-0.025,0.408,
7,8.641,0,1.522,0.138,-0.182,1.505,-0.660,-0.028,0.411,
8,8.709,0,1.522,0.139,-0.182,1.505,-0.659,-0.028,0.411,
9,8.777,0,1.520,0.139,-0.182,1.503,-0.659,-0.029,0.410,
10,8.846,0,1.521,0.138,-0.183,1.503,-0.659,-0.030,0.409,
11,8.914,0,1.522,0.139,-0.183,1.505,-0.661,-0.029,0.410,
12,8.987,0,1.522,0.139,-0.184,1.504,-0.660,-0.031,0.410,
13,9.052,0,1.521,0.139,-0.185,1.503,-0.659,-0.030,0.412,
14,9.126,0,1.520,0.141,-0.184,1.503,-0.661,-0.028,0.415,
15,9.196,0,1.520,0.141,-0.185,1.503,-0.661,-0.029,0.415,
16,9.267,0,1.521,0.141,-0.185,1.503,-0.661,-0.029,0.416,
17,9.337,0,1.521,0.142,-0.185,1.503,-0.661,-0.031,0.415,
18,9.408,0,1.522,0.143,-0.184,1.504,-0.659,-0.034,0.414,
19,9.473,0,1.529,0.149,-0.184,1.510,-0.660,-0.039,0.414,
20,9.546,0,1.559,0.162,-0.185,1.540,-0.663,-0.047,0.417,
21,9.897,0,1.561,0.335,-0.148,1.517,-0.680,-0.003,0.545,
22,9.970,0,1.533,0.344,-0.144,1.488,-0.676,0.006,0.559,
23,10.042,0,1.534,0.363,-0.141,1.484,-0.674,0.013,0.573,
24,10.117,0,1.537,0.372,-0.145,1.484,0.136,0.114,0.534,
25,10.191,0,1.575,0.346,-0.159,1.528,-0.689,-0.014,0.555,
26,10.408,0,1.536,0.223,-0.189,1.508,-0.673,-0.034,0.473,
27,10.488,0,1.536,0.206,-0.194,1.510,-0.672,-0.036,0.463,
28,10.561,0,1.534,0.174,-0.204,1.511,-0.663,-0.038,0.440,
29,10.634,0,1.535,0.143,-0.213,1.513,-0.663,-0.040,0.419,
30,10.717,0,1.531,0.115,-0.222,1.511,-0.654,-0.037,0.400,
31,10.805,0,1.538,0.090,-0.233,1.518,-0.652,-0.041,0.380,
32,10.879,0,1.558,0.061,-0.247,1.537,-0.650,-0.052,0.354,
33,10.950,0,1.567,0.043,-0.256,1.545,-0.650,-0.060,0.336,
34,11.022,0,1.561,0.007,-0.268,1.538,-0.658,-0.062,0.303,
35,11.092,0,1.571,-0.009,-0.276,1.547,-0.643,-0.063,0.290,
36,11.161,0,1.565,-0.034,-0.288,1.538,-0.638,-0.058,0.268,
37,11.235,0,1.587,-0.048,-0.299,1.558,-0.640,-0.064,0.252,
